RANK;FULL NAME;TEAM;POS;AGE;GP;MPG;MIN%;USG%;TO%;FTA;FT%;2PA;2P%;3PA;3P%;eFG%;TS%;PPG;RPG;TRB%;APG;AST%;SPG;BPG;TOPG;VI;ORTG;DRTG
;Bogdan Bogdanovic;Atl;G;30.33;7;28.5;59.3;26.8;12.6;12;0.833;38;0.5;68;0.426;0.59;0.607;19.3;4.3;8.1;2;10.9;0.57;0.14;2.29;7.7;108.1;113.2
;Bol Bol;Orl;C-F;23.09;31;26.4;55;18.8;17.8;61;0.77;207;0.647;57;0.404;0.638;0.66;12.4;7.4;16.1;1.1;6.7;0.48;1.68;2.03;7.1;114.1;110
;Leandro Bolmaro;Uta;F;22.27;7;6.6;13.8;11.8;23.1;0;0;8;0.25;2;0;0.2;0.2;0.6;0.4;3.5;0.9;15.4;0.29;0.14;0.43;3.6;67.9;112.5
;Devin Booker;Pho;G;26.13;28;35.6;74.2;31.4;9.5;180;0.85;410;0.524;181;0.37;0.534;0.585;28;4.8;7.5;5.8;26.7;0.93;0.39;2.5;10.3;119.3;109
;Brandon Boston;Lac;G;21.06;13;9.6;19.9;26.1;6.7;19;0.789;43;0.349;18;0.444;0.443;0.497;5.3;1;5.7;0.7;11.6;0.23;0;0.38;6.5;103.6;107
;Chris Boucher;Tor;F-C;29.94;26;22.8;47.4;19.5;5.9;89;0.753;142;0.542;76;0.276;0.498;0.552;10.9;6.2;15.5;0.5;3.3;0.73;0.81;0.62;5.7;120.1;104.4
;James Bouknight;Cha;G;22.25;22;15.3;31.9;17.9;12.4;22;0.682;56;0.429;61;0.246;0.397;0.426;4.9;2.1;7.4;1.2;11.1;0.5;0.18;0.82;6;88.2;110.1
;Tony Bradley;Chi;C-F;24.95;9;2.8;5.9;15.2;11.3;2;1;3;0.667;4;0.5;0.714;0.761;1.3;1.1;22.4;0.1;5.6;0.11;0;0.11;7.5;;
;Malaki Branham;San;F;19.61;15;17;35.4;16.1;11.1;11;0.818;35;0.457;48;0.271;0.428;0.455;5.3;1.5;4.8;1.5;11.9;0.27;0.13;0.73;5.4;95.7;117.8
;Christian Braun;Den;G;21.67;27;14.1;29.4;10.9;9.4;18;0.556;52;0.5;27;0.296;0.481;0.495;3.2;2.1;8.8;0.6;4.8;0.3;0.15;0.33;4.5;107;112.1
;Mikal Bridges;Pho;F;26.3;30;36.6;76.3;17.3;7.1;70;0.9;246;0.512;141;0.404;0.547;0.582;16.2;5;7.6;3;11.5;1.27;0.83;1.07;6.8;122;110.9
;Oshae Brissett;Ind;F-G;24.5;26;15.6;32.6;14.8;9;55;0.727;42;0.5;65;0.369;0.533;0.587;5.9;2.9;10.3;0.4;3.7;0.69;0.19;0.5;4.9;116.6;108.5
;Malcolm Brogdon;Bos;G;30.02;26;23.9;49.7;23.8;14.2;68;0.868;153;0.503;106;0.462;0.581;0.623;13.8;4.1;9.5;3.7;23.5;0.54;0.31;1.85;9.9;118.9;108
;Dillon Brooks;Mem;G-F;26.91;26;31;64.7;26.1;9;76;0.776;251;0.446;181;0.354;0.481;0.51;18.3;3.7;6.3;2.9;13.9;0.81;0.15;1.77;7.5;105.8;105.1
;Greg Brown III;Por;F;21.3;9;7.4;15.3;18.2;18.2;8;0.25;14;0.5;5;0.2;0.447;0.422;2.1;1.2;9.5;0;0;0.44;0.56;0.56;0;72.5;101.6
;Troy Brown Jr.;Lal;G-F;23.39;26;23.4;48.8;12.4;12.8;17;1;77;0.532;72;0.306;0.497;0.527;6.3;4.2;9.4;0.8;4.5;0.73;0.12;0.88;4.7;102.3;108.9
;Bruce Brown;Den;G-F;26.34;29;30.2;62.8;16.2;15.3;35;0.8;170;0.535;92;0.413;0.565;0.584;11.2;4.3;8.3;4.3;18.7;0.97;0.62;1.72;7.8;116.2;110.4
;Jaylen Brown;Bos;G-F;26.15;29;35.8;74.6;31.1;12.5;154;0.812;370;0.584;207;0.338;0.556;0.595;26.4;7.4;11.5;3.5;16.8;1.17;0.48;3.17;9.8;110.2;105.2
;Kendall Brown;Ind;G;19.61;6;6.7;14;10.2;20.2;2;0.5;6;0.667;1;0;0.571;0.571;1.5;1;8.2;0.5;9.9;0.67;0;0.33;5.4;108.9;91.8
;Moses Brown;Lac;C;23.18;24;6.7;14;22.2;8.5;46;0.478;55;0.618;0;0;0.618;0.598;3.8;3;24.2;0.1;3.1;0.04;0.42;0.29;6.2;124.7;96.6
;Jalen Brunson;Nyk;G;26.3;30;32.1;66.8;26.1;10.3;149;0.893;347;0.504;126;0.373;0.519;0.579;20.8;3.2;5.2;6.2;31.3;1.17;0.17;2.07;9.3;121;108.1
;Thomas Bryant;Lal;C-F;25.39;15;16.3;33.9;18.8;7.3;41;0.683;69;0.739;14;0.429;0.723;0.732;9.9;4.6;15;0.7;7;0.27;0.6;0.53;7.8;142.2;103.8
;Reggie Bullock;Dal;G-F;31.76;29;27.7;57.6;9.2;7.4;21;0.714;25;0.44;117;0.325;0.479;0.499;5.2;3.2;6.9;0.9;4.5;0.72;0.1;0.41;3.6;104.1;108.2
;Alec Burks;Det;G;31.42;19;21.1;44;25.2;8.8;83;0.783;94;0.489;87;0.402;0.544;0.602;13.8;3;7.8;1.8;13.8;0.84;0.11;1.11;8;118.7;107.4
;John Butler Jr.;Por;F;20.04;4;3.9;8;8.5;0;0;0;1;1;2;0;0.333;0.333;0.5;0.5;7.4;0.3;8.5;0;0.25;0;4.3;;
;Jimmy Butler;Mia;F;33.26;20;35.2;73.2;24.3;9.9;154;0.818;239;0.556;41;0.366;0.555;0.628;21.9;6.8;11;5.9;28.7;1.85;0.4;1.9;10.9;129.6;107.1
;Jamal Cain;Mia;F;23.75;8;11.6;24.2;15.5;6.1;6;0.667;22;0.636;6;0.167;0.554;0.571;4.4;2.4;11.7;0.6;8.5;0.63;0;0.25;6.4;121.5;100.4
;Kentavious Caldwell-Pope;Den;G;29.83;28;31.1;64.8;14.3;11.1;39;0.795;113;0.487;127;0.457;0.592;0.612;11.3;3.1;5.7;2.2;9;1.11;0.39;1.14;5.5;117.7;113.1
;Facundo Campazzo;Dal;G;31.74;8;6.5;13.6;14.6;17.8;2;0.5;2;0;11;0.273;0.346;0.36;1.3;0.3;2.3;1.1;23.1;0.75;0;0.38;4.6;86.5;106.8
;Vlatko Cancar;Den;F;25.69;20;10.6;22;16.7;14.6;9;0.778;31;0.516;35;0.429;0.583;0.6;4.2;1.5;7.9;0.9;10.6;0.35;0.2;0.6;6.7;111.2;107
;Clint Capela;Atl;C;28.59;26;27.6;57.5;15.8;8.5;48;0.583;226;0.633;0;0;0.633;0.635;12.1;12;23.4;0.8;4.1;0.62;1.31;0.88;7.1;132.9;104.1
;Vernon Carey Jr.;Was;F-C;21.81;3;1.7;3.5;25.6;33.3;0;0;2;0;0;0;0;0;0;0.3;10.8;0;0;0;0;0.33;0;;
;Wendell Carter Jr.;Orl;C-F;23.68;15;32.8;68.4;21;16.4;69;0.826;117;0.59;52;0.346;0.568;0.624;16.6;9.1;15.8;3.3;15.7;0.53;0.53;2.6;9.7;118.1;105.4
;Jevon Carter;Mil;G;27.26;29;25.8;53.8;13.5;15;19;0.842;97;0.443;99;0.414;0.533;0.55;7.8;2.8;5.7;3.3;17.2;1.28;0.55;1.24;6.5;113;103.1
;Alex Caruso;Chi;G;28.81;28;25.5;53.2;10.4;22.7;36;0.75;52;0.5;65;0.354;0.517;0.557;5.3;2.7;6;3.8;18.6;1.54;0.68;1.39;5.9;109.6;106.3
;Justin Champagnie;Tor;G-F;21.47;3;3.6;7.6;11.7;0;0;0;3;1;0;0;1;1;2;1.3;20.9;0.3;16.2;0;0;0;10.2;;
;Julian Champagnie;Phi;F;21.47;2;3.4;7;13.3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0.5;0;0;0;;
;Kennedy Chandler;Mem;G;20.26;13;11.2;23.3;18.2;20.3;7;0.429;36;0.444;12;0.167;0.396;0.401;3.2;1.7;8;2.5;29.4;0.62;0.31;1;8.5;91.8;108
;Max Christie;Lal;G;19.85;13;12.7;26.4;11.2;6.9;4;0.75;12;0.333;27;0.444;0.564;0.577;3.6;2.5;10.3;0.4;3.9;0.23;0.15;0.23;4.8;113.6;110.5
;Josh Christopher;Hou;G;21.03;18;7;14.6;21.2;18.6;6;0.833;36;0.528;14;0.214;0.47;0.494;2.9;1.1;8.6;0.6;13.8;0.28;0.06;0.67;7.1;94;107.6
;Brandon Clarke;Mem;F;26.25;29;19.6;40.8;17.8;13.8;65;0.708;178;0.669;6;0.167;0.655;0.675;9.9;5.2;14;1.2;9;0.34;0.83;1.17;8.1;124.6;99.9
;Jordan Clarkson;Uta;G;30.53;31;32.5;67.7;27.1;13.7;101;0.822;276;0.518;241;0.344;0.517;0.55;19.9;3.8;6.4;4.6;21.8;0.42;0.32;2.87;8.7;108.7;115
;Nic Claxton;Bro;F-C;23.67;28;27.8;58;15.3;13.5;81;0.444;195;0.744;1;0;0.74;0.704;11.6;8.6;17.8;1.2;6.3;0.71;2.36;1.29;7.1;131.8;103.1
;Amir Coffey;Lac;G-F;25.51;26;15.3;31.8;12.8;11.1;41;0.805;60;0.4;26;0.346;0.436;0.519;4.2;1.2;4.4;1.2;11.1;0.23;0.08;0.5;4.8;111.1;107.1
;John Collins;Atl;F-C;25.24;22;31.5;65.6;16.3;11.2;58;0.845;140;0.621;73;0.219;0.521;0.568;12.3;7.5;12.8;1.3;5.5;0.91;1.41;1.36;6.3;110.8;104.1
;Zach Collins;San;F-C;25.08;18;20.8;43.4;19.5;25.1;26;0.731;82;0.634;38;0.316;0.583;0.605;8.8;5.8;15.5;2.9;20.2;0.56;1;2.44;10.2;105.9;100.9
;Mike Conley;Uta;G;35.19;21;29;60.4;16;13.8;43;0.721;77;0.416;104;0.356;0.483;0.515;9.8;2.1;4.1;7.4;33.4;1.05;0.24;1.52;7.4;119.7;112.9
;Pat Connaughton;Mil;G;29.95;13;19.1;39.8;18;6.6;11;0.818;25;0.44;69;0.275;0.42;0.445;6.8;3.4;9.3;0.7;5;0.62;0.15;0.54;5.3;96.5;106.5
;Robert Covington;Lac;F;32.01;19;16.2;33.8;16.6;12.8;17;0.824;35;0.486;60;0.317;0.479;0.512;5.5;3.7;12.3;1.2;10.8;0.53;0.68;0.79;7.2;102.4;96.7
;Torrey Craig;Pho;F;32;27;24.2;50.4;13.3;9.2;17;0.824;85;0.565;94;0.372;0.561;0.576;8;5.1;11.7;1.5;8.3;0.67;0.7;0.7;6.5;123.1;105.9
;Jarrett Culver;Atl;G-F;23.83;10;13.7;28.5;17.1;12.6;13;0.692;31;0.516;12;0.083;0.407;0.452;4.4;3.8;15;0.6;5.8;0.6;0.2;0.7;6.3;95.7;103.2
;Cade Cunningham;Det;G;21.23;12;33.4;69.5;29.9;13.8;43;0.837;163;0.466;61;0.279;0.453;0.492;19.9;6.2;10.2;6;30.7;0.83;0.58;3.25;10.8;99.9;111.3
;Seth Curry;Bro;G;32.32;20;21.7;45.3;17.4;12.4;15;0.933;60;0.483;82;0.402;0.553;0.575;8.6;2.1;5.6;2.2;13.8;0.55;0.2;1.05;6.3;109.5;109.7
;Stephen Curry;Gol;G;34.76;26;34.4;71.6;31.1;12.2;135;0.919;222;0.59;302;0.434;0.625;0.668;30;6.6;10.6;6.8;33.3;1.04;0.35;3.12;12.8;125.6;110.4
;Dyson Daniels;Nor;G;19.76;21;20.4;42.6;11.6;15.4;22;0.682;55;0.564;34;0.412;0.584;0.603;5.7;3.6;9.9;2.3;14.6;0.76;0.24;0.86;7.1;120.5;101.8
;Anthony Davis;Lal;F-C;29.78;25;33.4;69.6;28.5;8.3;201;0.826;399;0.617;31;0.29;0.603;0.661;27.4;12.1;19.1;2.6;13.8;1.32;2.12;1.88;11.4;130.9;102.8
