RANK;FULL NAME;TEAM;POS;AGE;GP;MPG;MIN%;USG%;TO%;FTA;FT%;2PA;2P%;3PA;3P%;eFG%;TS%;PPG;RPG;TRB%;APG;AST%;SPG;BPG;TOPG;VI;ORTG;DRTG
;Jake LaRavia;Mem;F;21.13;18;17.3;36.1;11.8;16.8;5;1;22;0.5;50;0.38;0.549;0.566;4.7;2.9;9;0.9;6.8;0.56;0.17;0.83;5.3;109.9;102.8
;Zach LaVine;Chi;G-F;27.78;25;34.2;71.2;28;11.8;97;0.825;253;0.502;192;0.365;0.521;0.558;21.8;4.4;7.2;4.1;19;1.16;0.04;2.6;8.6;106.4;109.8
;A.J. Lawson;Min;G;25.65;1;1.8;3.8;23.5;0;0;0;1;1;0;0;1;1;2;1;30.8;0;0;0;0;0;0;;
;Damion Lee;Pho;G-F;30.16;30;21;43.7;14.4;10.7;25;0.92;67;0.433;113;0.478;0.611;0.636;8.1;3.3;8.8;1.2;7.6;0.5;0.1;0.77;6.1;123.3;109.8
;Saben Lee;Phi;G;23.49;2;5.1;10.5;30.9;42.9;0;0;3;1;1;0;0.75;0.75;3;0;0;1;38;0.5;0;1.5;0;86.7;102.6
;Alex Len;Sac;C;29.51;8;3.1;6.5;17;0;2;0.5;9;0.556;0;0;0.556;0.557;1.4;1.1;20.7;0.3;11.9;0;0;0;10;;
;Kawhi Leonard;Lac;F;31.47;11;26.5;55.3;26.6;9;41;0.732;101;0.535;43;0.233;0.479;0.518;15.3;6.1;12.5;3.3;20.9;0.91;0.27;1.45;10.2;107.9;104.7
;Caris LeVert;Cle;G;28.32;27;31.1;64.7;20;12.5;70;0.757;181;0.42;116;0.345;0.458;0.496;12;4.3;8.2;4.2;19.6;0.67;0.07;1.74;7.7;104.8;103.7
;Kira Lewis Jr.;Nor;G;21.7;1;6.1;12.7;34;0;2;1;3;0.333;1;0;0.25;0.41;4;1;9.2;0;0;0;0;0;0;94.5;97.4
;Damian Lillard;Por;G;32.43;18;34.5;71.8;32.7;13.8;141;0.894;136;0.529;201;0.398;0.57;0.639;28.3;3.8;6.3;7.1;35;0.83;0.22;3.56;10.6;123.5;112.9
;Nassir Little;Por;F-G;22.85;21;15.3;31.9;15.6;12.3;21;0.667;48;0.563;43;0.372;0.56;0.579;5.5;2.4;8.9;0.9;8;0.38;0.14;0.67;6;110.6;111.4
;Isaiah Livers;Det;F;24.39;22;19.6;40.7;12.4;10.3;20;0.75;23;0.565;81;0.358;0.543;0.567;5.8;2.3;6.4;0.6;4.2;0.41;0.55;0.59;4.1;110.7;112
;Kenneth Lofton Jr.;Mem;F;20.35;5;4.6;9.5;29.4;6.1;3;0.333;13;0.538;1;0;0.5;0.49;3;0.8;9.3;0.8;29.7;0;0;0.2;10.8;107.8;102.2
;Kevon Looney;Gol;F;26.87;31;23.1;48.2;9.8;6.6;48;0.646;135;0.652;0;0;0.652;0.663;6.7;7.8;18.6;2.9;16.4;0.42;0.61;0.35;9.2;155.3;102.8
;Brook Lopez;Mil;C;34.72;28;30.5;63.5;17.7;9.2;57;0.825;152;0.566;148;0.392;0.577;0.604;14;5.9;10.2;1.1;5.5;0.46;2.79;1.18;5.9;119.4;104.8
;Robin Lopez;Cle;C;34.72;20;9;18.7;14.8;21.9;12;0.75;41;0.659;0;0;0.659;0.681;3.2;1.4;9.2;0.5;7.4;0.05;0.15;0.65;5.8;119.5;100.1
;Kevin Love;Cle;F-C;34.28;23;19.5;40.7;20.9;12.8;42;0.881;49;0.469;116;0.371;0.53;0.578;9.2;6.7;20.4;2.1;15.8;0.17;0.13;1.17;10.4;114.7;98.5
;Kyle Lowry;Mia;G;36.74;28;36.1;75.1;18;16.6;103;0.854;107;0.486;190;0.353;0.513;0.574;14;4.7;7.5;5.9;24.3;1.14;0.54;2.43;8.1;112.8;105.4
;Trey Lyles;Sac;F;27.12;22;13.8;28.8;19.2;13.9;23;0.739;37;0.514;71;0.338;0.509;0.538;5.8;2.9;11.8;0.7;7.1;0.27;0.32;0.86;6.6;104.5;108.3
;Theo Maledon;Cha;G;21.52;28;16.6;34.6;15.2;17.7;38;0.921;75;0.467;48;0.354;0.492;0.558;5.6;2.5;8.1;2.4;19.4;0.68;0.18;1.07;7.8;109.8;112.2
;Sandro Mamukelashvili;Mil;F-C;23.58;13;8.7;18.1;14.7;10.2;10;0.5;15;0.467;16;0.313;0.468;0.48;2.6;2.4;14.4;0.7;10.7;0.08;0.15;0.31;7.5;109.1;102.1
;Terance Mann;Lac;G-F;26.17;31;22.3;46.5;16.2;13.2;47;0.723;135;0.615;67;0.343;0.582;0.604;8.7;4;9.8;2;13.5;0.58;0.35;1.1;7.4;118.4;104.1
;Tre Mann;Okc;G;21.87;27;19.9;41.5;20.4;9.1;20;0.65;106;0.491;125;0.288;0.459;0.469;8.3;2.6;6.7;1.6;11.2;0.78;0.11;0.89;6.5;97.1;110.2
;Boban Marjanovic;Hou;C;34.34;9;3.8;7.9;19.3;12.5;9;0.778;9;0.667;1;0;0.6;0.681;2.1;1;14.2;0.1;4.6;0.11;0.11;0.22;6.3;;
;Lauri Markkanen;Uta;F-C;25.58;29;33.9;70.6;23.6;10.9;127;0.843;247;0.611;189;0.418;0.618;0.657;22.3;8.3;13.5;2.2;10.1;0.55;0.66;2.07;8.7;125.4;111
;Naji Marshall;Nor;F;24.9;27;22.1;46.1;15.6;10.5;49;0.816;102;0.52;73;0.342;0.517;0.562;8.2;3.1;7.8;2.3;13.5;0.78;0.26;0.85;7;118.1;108.4
;Kenyon Martin Jr.;Hou;F;21.95;29;24.2;50.4;16.5;11.4;65;0.662;142;0.676;78;0.308;0.6;0.617;10.6;5;11.3;1.4;9.2;0.38;0.38;1.1;6.9;122;111.9
;Caleb Martin;Mia;F;27.23;29;32.9;68.6;14.7;11.4;40;0.8;152;0.52;111;0.396;0.551;0.574;11.1;4.7;8.1;1.9;8.7;1.14;0.34;1.24;5.6;113;107.7
;Cody Martin;Cha;F;27.23;1;0.9;1.9;0;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;
;Tyrese Martin;Atl;G;23.79;9;3.9;8.2;16.6;0;0;0;9;0.444;5;0.2;0.393;0.393;1.2;0.6;7.6;0;0;0.11;0;0;0;;
;Garrison Mathews;Hou;G;26.15;24;13.4;27.8;13.7;6.6;31;0.935;5;0.6;81;0.37;0.558;0.627;5.2;1.2;4.9;0.4;4.4;0.54;0.13;0.29;4;131.6;109.3
;Bennedict Mathurin;Ind;G-F;20.5;31;29;60.4;25.8;10.1;180;0.811;258;0.453;164;0.354;0.483;0.553;17.9;4.1;7.8;1.5;8;0.61;0.1;1.81;6.6;108;113.2
;Wesley Matthews;Mil;G;36.18;21;14.8;30.9;10.2;9.3;8;0.875;13;0.385;52;0.327;0.469;0.496;3.2;1.7;6.1;0.5;4.5;0.52;0.19;0.33;3.8;109.6;102.9
;Tyrese Maxey;Phi;G;22.12;15;36.4;75.8;27.1;9;65;0.738;171;0.485;102;0.422;0.54;0.569;22.9;3.5;5.6;4.4;20.6;1;0.27;2;7.8;111.8;108.3
;Miles McBride;Nyk;G;22.28;18;10.8;22.5;13.9;10.8;9;0.556;21;0.571;33;0.242;0.444;0.457;2.9;0.8;4.1;1.4;17.9;0.67;0;0.39;5.5;105.5;107.2
;CJ McCollum;Nor;G;31.25;25;35;73;25;10.7;47;0.809;278;0.457;161;0.335;0.474;0.494;18.2;4.8;7.7;5.7;23.8;1.04;0.6;2.2;9.1;104.8;108.9
;T.J. McConnell;Ind;G;30.73;28;17.5;36.5;16.9;22.6;18;0.889;130;0.469;16;0.25;0.459;0.487;5.4;2.4;7.4;4.4;34.7;1.11;0.18;1.61;8.8;104.2;110.6
;Jaden McDaniels;Min;F;22.22;27;30.1;62.6;14.6;15;40;0.75;136;0.625;85;0.365;0.595;0.614;10.9;3.4;6.3;1.5;6.6;1.15;1.22;1.56;5.1;111.8;106.7
;Jalen McDaniels;Cha;F-C;24.88;30;26.5;55.1;17;12.4;54;0.889;156;0.526;104;0.356;0.529;0.569;10.8;4.6;9.3;2.3;12.6;1.03;0.53;1.33;7.3;112.3;105.8
;Doug McDermott;San;F;30.96;25;20.9;43.5;18.9;10.1;22;0.682;84;0.56;119;0.42;0.601;0.609;10.4;2;5.5;1.5;10.7;0.08;0.2;0.96;6;114.2;116.4
;JaVale McGee;Dal;C-F;34.92;19;9;18.8;23.7;21.2;22;0.545;57;0.632;4;0.25;0.615;0.615;4.6;2.6;17;0.2;4;0.16;0.58;1;5.9;101.7;99.1
;Bryce McGowens;Cha;G;20.11;13;14.3;29.8;12.6;10.7;12;0.917;29;0.414;16;0.375;0.467;0.527;4.1;1.4;5.2;1;9.4;0.31;0.31;0.46;5;109.3;117.4
;Rodney McGruder;Det;G;31.39;9;9.2;19.2;13.7;11.2;4;1;6;0.333;16;0.188;0.295;0.358;1.9;1.8;10.7;0.8;11.2;0;0;0.33;6.1;92.5;119
;Jordan McLaughlin;Min;G;26.69;18;15.9;33.2;12.4;16.7;9;1;32;0.625;34;0.235;0.485;0.522;4.1;1.7;5.8;3.6;28.7;0.83;0.11;0.78;7.4;118.7;115.8
;De'Anthony Melton;Phi;G;24.56;25;29.8;62;19.1;13.8;25;0.68;113;0.478;150;0.393;0.542;0.551;12.1;4.6;9.1;3.4;17.1;2.2;0.44;1.76;7.7;108.3;103.8
;Chimezie Metu;Sac;F-C;25.75;24;11.5;23.9;17.8;14.8;20;0.8;68;0.691;21;0.238;0.612;0.639;5.2;3.1;15.6;0.7;8.4;0.38;0.21;0.71;7.8;116.4;103.1
;Khris Middleton;Mil;F;31.35;7;24.4;50.8;23.8;11.4;19;0.895;36;0.389;41;0.268;0.396;0.457;11.1;2.6;5.5;4.4;25.8;0.57;0.14;1.57;8.2;101.4;102
;Patty Mills;Bro;G;34.35;21;12;25.1;18.6;8.5;12;0.917;28;0.571;63;0.381;0.571;0.597;5.5;1;5;1.3;14.9;0.24;0.05;0.43;6.4;119.1;116.2
;Shake Milton;Phi;G-F;26.23;24;24.8;51.6;20.3;15.5;50;0.84;152;0.566;55;0.382;0.568;0.605;11.5;3.3;7.9;3.5;22.1;0.42;0.21;1.75;8.2;115.4;107
;Josh Minott;Min;F;20.07;4;3.2;6.7;18.9;0;4;1;4;0.75;0;0;0.75;0.868;2.5;0.8;12.9;0.5;23.7;0.25;0.25;0;12.5;;
;Davion Mitchell;Sac;G;24.29;27;19.7;41;15.8;15.8;17;0.706;89;0.551;69;0.29;0.5;0.514;6.3;1.7;4.9;2.4;16.6;0.48;0.3;1.15;6;100.6;109.3
;Donovan Mitchell;Cle;G;26.28;27;36.9;76.9;31.6;11.6;144;0.889;309;0.566;250;0.424;0.597;0.64;29.5;3.9;6.2;4.6;22.7;1.37;0.37;3.04;8.8;120.7;104.2
;Evan Mobley;Cle;C;21.5;31;34.4;71.8;18.9;13.7;116;0.698;305;0.59;33;0.273;0.572;0.601;15.1;9.3;16;2.7;12;0.74;1.32;2;8.4;118.9;100.4
;Isaiah Mobley;Cle;F;23.24;8;3.3;6.8;13.7;0;0;0;6;0.5;2;0.5;0.563;0.563;1.1;1.4;24.9;0;0;0.13;0;0;0;;
;Chima Moneke;Sac;F;26.99;2;4;8.2;26.4;41;2;0;2;0.5;0;0;0.5;0.347;1;1;14.5;0.5;16.8;0;0;1;7.9;73.2;94.7
;Malik Monk;Sac;G;24.87;28;23;47.9;26.6;13.7;72;0.917;153;0.582;162;0.346;0.549;0.594;14.7;2.3;5.8;3.9;25.9;0.64;0.14;1.96;8.9;113.5;110.2
;Moses Moody;Gol;G;20.55;26;14.7;30.7;13.9;18.1;23;0.826;33;0.545;61;0.377;0.559;0.595;4.8;1.7;6.5;0.8;6.7;0.35;0.19;0.88;5.1;104.6;113
;Wendell Moore Jr.;Min;G;21.25;13;6.6;13.8;15.8;18.6;5;0.8;13;0.615;11;0.182;0.458;0.496;2;0.8;7.1;0.6;12.1;0.38;0.23;0.46;6;93;106.9
;Ja Morant;Mem;G;23.36;24;32;66.7;35.9;12.8;207;0.734;373;0.491;121;0.339;0.495;0.548;26.7;6.7;11;7.7;39.5;1.13;0.25;3.58;13.9;113.3;107
;Marcus Morris Sr.;Lac;F;33.3;29;30.2;62.8;19;7.1;46;0.783;179;0.508;156;0.372;0.531;0.552;13.5;5.2;9.3;1.8;9.1;0.72;0.31;0.93;6.6;110.2;104.4
;Markieff Morris;Bro;F;33.3;18;11.4;23.7;15.2;15.8;6;1;21;0.381;35;0.457;0.571;0.597;3.9;2.4;12.1;0.9;11;0.33;0.22;0.61;7.1;113.2;105.1
;Monte Morris;Was;G;27.48;26;28.1;58.5;15.2;9;27;0.741;130;0.5;90;0.389;0.534;0.55;9.8;3.3;6.5;5.2;25.8;0.73;0.19;0.88;7.9;120.2;113
;Trey Murphy III;Nor;F;22.5;27;28.6;59.6;15.9;8.3;49;0.918;87;0.563;157;0.395;0.582;0.619;12.2;4.3;8.3;1.4;6.8;1.11;0.56;0.89;5.9;123.7;106.3
;Dejounte Murray;Atl;G;26.25;25;35.6;74.1;25.8;11.7;67;0.836;309;0.492;145;0.366;0.51;0.537;20.8;5.4;8.3;6.2;26.8;1.76;0.44;2.56;10;109;111.1
;Jamal Murray;Den;G;25.82;25;30.8;64.1;26.1;11;81;0.765;245;0.49;133;0.338;0.496;0.528;17.5;3.7;6.9;5.4;25.4;0.84;0.2;2.04;9.1;109.7;115.5
;Keegan Murray;Sac;F;22.33;26;28.8;60;17.6;11;33;0.848;107;0.514;154;0.37;0.538;0.561;11.9;4;7.9;0.8;3.7;0.73;0.65;1.31;4.7;103.7;109.1
;Mike Muscala;Okc;F-C;31.47;20;12.2;25.5;16.3;7.3;16;0.75;28;0.679;54;0.315;0.543;0.567;5.1;3.2;13.5;0.9;9.5;0.15;0.45;0.35;8;116.9;102.7
;Svi Mykhailiuk;Nyk;G-F;25.53;10;3.2;6.7;17.3;15;3;0.333;2;0;8;0.625;0.75;0.707;1.6;0.7;11.5;0;0;0.1;0;0.2;0;;
;Larry Nance Jr.;Nor;F-C;29.96;27;23.2;48.4;13.7;12.8;33;0.727;137;0.693;25;0.4;0.679;0.691;9;5.8;14;1.9;11;0.96;0.89;0.96;8;133.8;101.6
;Andrew Nembhard;Ind;G-F;22.92;26;25.6;53.4;14.2;16.3;16;0.875;90;0.556;93;0.387;0.568;0.584;8.5;2.9;6.3;3.8;20.7;0.96;0.19;1.42;7.1;113.7;107.2
;Aaron Nesmith;Ind;G-F;23.18;27;22.2;46.3;16.3;11.5;33;0.848;83;0.482;111;0.387;0.539;0.568;8.8;3.5;8.7;1;6.6;0.74;0.52;1;5.6;107.9;104.1
;Raul Neto;Cle;G;30.58;20;8.8;18.3;13.6;11.3;12;0.833;25;0.6;17;0.294;0.536;0.582;2.8;0.8;5.1;1.1;17.7;0.35;0;0.3;6.1;121.6;103
;Georges Niang;Phi;F;29.51;26;19.8;41.3;19.1;10;18;0.889;50;0.52;141;0.426;0.607;0.623;9.5;2.2;6.6;1.2;8.9;0.5;0.27;0.85;5.9;114.4;103
;Daishen Nix;Hou;G;20.85;26;15.1;31.5;14;27.7;19;0.789;30;0.4;58;0.345;0.477;0.514;3.8;1.8;6.5;2.5;23.1;0.77;0.12;1.42;6.8;99.1;112.3
;Zeke Nnaji;Den;F-C;21.94;20;9.3;19.3;16.6;12.6;12;0.833;43;0.698;14;0.214;0.605;0.634;4;1.4;8.4;0.2;3;0.15;0.15;0.45;4.5;121.7;106.2
;Nerlens Noel;Det;C-F;28.69;6;10.3;21.5;12.1;16.9;4;0.75;13;0.308;0;0;0.308;0.373;1.8;3.2;16.9;0.5;6.4;0.83;0.33;0.5;5.5;82.6;98.6
;Jaylen Nowell;Min;G;23.45;30;19.5;40.5;26;8.1;47;0.787;193;0.518;117;0.308;0.497;0.522;11.5;2.9;8.3;2.2;17.1;0.63;0.1;0.97;8.6;107.1;110.7
;Frank Ntilikina;Dal;G;24.39;12;12;24.9;13.3;11.9;7;0.571;14;0.357;20;0.2;0.324;0.351;2.2;1.5;7.4;1.5;16.9;0.25;0.17;0.42;5.7;88;103.2
;Kendrick Nunn;Lal;G;27.38;24;12.1;25.1;23.5;15.4;11;0.909;66;0.439;66;0.273;0.424;0.446;5.1;1.2;5.1;1;12.1;0.21;0.04;1.04;6;82.6;110.1
;Jusuf Nurkic;Por;C;28.32;27;29.1;60.6;21.7;16.4;112;0.688;231;0.558;45;0.422;0.571;0.603;14.5;9.9;19.5;2.8;15.1;0.7;0.89;2.37;10.1;116;100.5
;Jordan Nwora;Mil;F;24.28;25;17.1;35.7;17.7;12.8;32;0.844;69;0.362;74;0.365;0.458;0.503;6.3;3.2;9.9;1;8;0.32;0.12;0.92;6.4;102.3;106.9
;Chuma Okeke;Orl;F;24.34;18;21.8;45.3;11.7;8.6;21;0.762;27;0.519;60;0.3;0.471;0.509;5.4;4.2;11.1;1.4;9.1;0.61;0.5;0.5;5.8;115.6;107.9
;Josh Okogie;Pho;G;24.3;26;10.6;22.2;18.2;12.6;37;0.757;48;0.521;40;0.25;0.455;0.518;4.2;2.8;14.8;1;11.9;0.62;0.42;0.58;8.6;114.9;99.5
;Onyeka Okongwu;Atl;F-C;22.02;29;21.1;43.9;14.2;13.5;64;0.734;148;0.635;3;0;0.623;0.656;8.1;6.5;16.7;0.9;5.8;0.59;0.72;0.97;6.9;129.5;100.1
;Isaac Okoro;Cle;F-G;21.9;31;18.4;38.2;11.7;13.5;28;0.821;62;0.565;54;0.222;0.457;0.503;4.2;2.1;6.7;0.6;4.3;0.65;0.39;0.65;3.8;99.2;100.5
;KZ Okpala;Sac;F-G;23.64;18;8.6;17.8;8.5;9.8;6;1;14;0.571;11;0.364;0.56;0.615;1.9;1.3;8.9;0.5;7.3;0.17;0.22;0.17;5;130.2;101.5
;Victor Oladipo;Mia;G;30.62;6;24.5;51;16.6;12.7;9;0.556;20;0.6;24;0.292;0.511;0.521;8.3;2.8;6.6;2.8;17.4;1.5;0;1.17;6.6;103;101
;Kelly Olynyk;Uta;F-C;31.67;32;28.7;59.7;17.5;19.1;103;0.845;150;0.6;114;0.43;0.619;0.669;12.9;5;9.5;3.2;15.4;1.16;0.59;2.28;8.2;121.1;103.3
;Eugene Omoruyi;Okc;F;25.84;13;13.6;28.3;19.1;9.9;16;0.688;41;0.561;25;0.32;0.53;0.554;6.2;2.5;9.8;0.6;6.4;0.92;0;0.62;6.2;112.1;96.1
;Royce O'Neale;Bro;F;29.54;29;35.7;74.4;13.1;17.1;25;0.64;83;0.325;158;0.405;0.51;0.52;9;5.3;8.5;4.5;16.1;1.03;0.62;1.79;6.7;105.7;107.7
;Cedi Osman;Cle;F;27.7;30;22.8;47.6;17.6;9.6;44;0.727;105;0.581;120;0.325;0.531;0.555;9;2.9;7.4;1.6;10.1;0.43;0.13;0.87;6.1;109.7;103.1
;Kelly Oubre Jr.;Cha;F-G;27.03;30;33.2;69.2;26.4;5.4;119;0.714;316;0.503;229;0.319;0.493;0.521;20.7;5.2;8.4;1.2;6.1;1.7;0.37;1.13;6.1;107.7;109.1
;Chris Paul;Pho;G;37.62;16;31.4;65.5;16.8;16;47;0.851;77;0.429;70;0.343;0.469;0.531;11.1;4.9;8.6;9;37;1.5;0.25;2;10;120.7;106.8
;Cameron Payne;Pho;G;28.36;26;24.8;51.7;24.1;13.9;47;0.766;172;0.436;124;0.387;0.497;0.521;12.7;2.4;5.3;5.3;31;0.96;0.19;1.96;8.8;108.7;108.3
;Theo Pinson;Dal;G-F;27.12;11;4.1;8.6;14.8;20.3;4;1;4;0.25;6;0;0.1;0.255;0.5;1.1;15.7;0.3;8.5;0.09;0;0.27;5.4;55.9;110.4
;Scotty Pippen Jr.;Lal;G;22.1;2;4.2;8.8;23.9;21;4;0.75;2;0;0;0;0;0.399;1.5;1;12.6;0;0;0;0;0.5;0;82.1;93.2
;Mason Plumlee;Cha;F-C;32.79;30;27.6;57.4;14.6;18.3;121;0.579;184;0.592;0;0;0.592;0.607;9.6;9.5;18.3;4;20.5;0.63;0.57;1.77;10.4;123.3;103.9
;Jakob Poeltl;San;C;27.18;21;26.9;56.1;19.1;18.9;60;0.5;184;0.636;0;0;0.636;0.627;12.6;9.7;20.2;3.3;18.4;0.95;0.95;2.33;11;117.8;110.5
;Aleksej Pokusevski;Okc;C;20.98;27;22.2;46.3;18.3;14;27;0.63;126;0.476;89;0.382;0.516;0.527;8.9;5.2;12.3;2;12.4;0.52;1.41;1.37;8.2;105.6;108
;Jordan Poole;Gol;G;23.5;31;28.8;60.1;28.8;15.8;125;0.864;227;0.546;236;0.331;0.521;0.569;19;2.2;4.1;4.6;24;0.77;0.29;3.13;8;106.1;111.7
;Kevin Porter Jr.;Hou;G-F;22.62;28;34.5;71.8;25.9;18.5;145;0.772;270;0.478;160;0.313;0.474;0.527;18.6;5.6;8.8;5.6;26.3;1.43;0.43;4;9.7;104;109.5
;Michael Porter Jr.;Den;F;24.47;16;29.1;60.5;22;7.6;30;0.8;96;0.51;110;0.427;0.58;0.6;16.4;6;12;1.3;6.2;0.63;0.38;1.13;6.9;116.6;109.1
;Otto Porter Jr.;Tor;F;29.55;8;18.3;38.1;10.9;10.7;8;1;13;0.692;17;0.353;0.6;0.656;5.5;2.4;7.4;1;7.4;1.38;0;0.5;5.2;132.1;111
;Bobby Portis;Mil;F;27.85;29;26.5;55.2;22.2;8.7;40;0.775;244;0.586;107;0.318;0.553;0.568;14.4;10.3;20.5;2;12.2;0.28;0.31;1.21;10.1;117.6;101.1
;Kristaps Porzingis;Was;F-C;27.38;29;32.8;68.3;27.9;10.2;200;0.8;299;0.552;160;0.331;0.533;0.593;22.4;8.9;14.9;2.7;13;1;1.48;2.14;9.9;116.7;105.7
;Micah Potter;Uta;F;24.7;2;5.9;12.3;7.1;0;0;0;2;1;0;0;1;1;2;1.5;14;0.5;11.9;0;0;0;7.8;210.4;101
;Dwight Powell;Dal;F-C;31.42;26;16.8;35.1;12.9;16.1;53;0.66;80;0.7;1;0;0.691;0.705;5.7;3.5;12.2;0.5;4.4;0.54;0.38;0.77;5.1;136.1;100.5
;Norman Powell;Lac;G;29.57;22;25.3;52.6;25.2;12.1;82;0.78;151;0.51;95;0.379;0.533;0.578;14.8;2.9;6.3;1.5;9.8;0.82;0.32;1.77;6.3;107;106
;Jason Preston;Lac;G;23.36;5;8.7;18.2;20.9;19.2;2;0;8;0.5;8;0.25;0.438;0.415;2.8;1;6.2;1.6;27.4;0;0;0.8;7.6;86.9;106
;Joshua Primo;San;G;19.99;4;23.4;48.6;18.3;26.9;9;0.778;14;0.429;12;0.25;0.404;0.467;7;3.3;7.8;4.5;24.9;0.25;0.5;2.75;8;90.6;114.5
;Taurean Prince;Min;F;28.75;18;19.5;40.7;16.1;15.7;22;0.864;49;0.612;54;0.389;0.597;0.63;7.9;2.5;7.1;1.2;8.1;0.33;0.22;1.17;5.9;110.9;106.2
;Payton Pritchard;Bos;G;24.89;18;11.1;23;21.5;14.4;10;0.7;32;0.469;47;0.34;0.494;0.51;4.7;1.4;7.2;1.1;14.3;0.33;0.06;0.78;7;100.8;112.4
;Trevelin Queen;Ind;G;25.81;2;9.9;20.5;12.7;50;0;0;0;0;3;0;0;0;0;1.5;8.4;1;12;0.5;0.5;1.5;0;31.6;113.2
;Neemias Queta;Sac;C;23.44;1;2.4;5;0;;0;0;0;0;0;0;;;0;1;23.8;1;47.4;0;0;0;0;;
;Immanuel Quickley;Nyk;G;23.51;30;23.6;49.2;19.3;11.9;64;0.844;142;0.458;118;0.297;0.452;0.501;9.6;4;9;3;17.8;1.03;0.1;1.3;8.2;106.4;105.4
;Julius Randle;Nyk;F-C;28.06;30;33.8;70.4;27.2;12.3;198;0.793;279;0.548;213;0.333;0.527;0.584;22.5;9.1;14.2;3.6;16.8;0.73;0.2;2.7;10.7;115.9;103.4
;Austin Reaves;Lal;G;24.56;29;29.5;61.4;13;12.5;82;0.915;103;0.631;92;0.391;0.61;0.677;10.8;3.1;5.6;2.1;9.4;0.55;0.41;1.14;5.6;128.1;111.5
;Cam Reddish;Nyk;F-G;23.3;20;21.9;45.6;15.8;9.1;33;0.879;80;0.55;56;0.304;0.511;0.558;8.4;1.6;3.7;1;6.4;0.75;0.4;0.75;4.3;112.2;109.6
;Davon Reed;Den;G;27.52;20;10.9;22.7;14.1;16.8;12;0.75;23;0.217;31;0.355;0.398;0.439;2.6;1.5;7.7;0.6;6.1;0.25;0.1;0.6;4.9;86.9;108.2
;Paul Reed;Phi;F;23.52;25;10.7;22.3;13.7;19.4;12;0.667;58;0.569;3;0;0.541;0.558;3;3.5;19.3;0.5;6.5;0.88;0.64;0.64;6.5;113;85.5
;Naz Reid;Min;C-F;23.32;24;15.7;32.6;23;11.7;44;0.614;106;0.651;55;0.364;0.615;0.624;9.4;4;14.2;0.8;7.8;0.46;0.88;1;7.9;114.1;100.9
;Nick Richards;Cha;C;25.06;30;19.1;39.9;17;11.1;92;0.739;167;0.605;0;0;0.605;0.651;9;6.5;18;0.7;5.2;0.13;0.87;0.87;7.2;131.5;105.9
;Josh Richardson;San;G;29.26;21;23.3;48.5;20.5;15.4;34;0.853;83;0.47;106;0.368;0.516;0.549;10.7;2.4;5.7;2.9;17.6;0.76;0.1;1.76;7.2;105.1;115.4
;Austin Rivers;Min;G;30.38;20;16.5;34.3;10.8;11.9;19;0.947;24;0.5;42;0.357;0.523;0.585;4.4;1.4;4.5;1.1;7.9;0.45;0.05;0.5;4.6;113.3;110.6
;Duncan Robinson;Mia;F;28.66;22;17.7;36.9;17.8;9.6;18;0.944;31;0.484;103;0.32;0.481;0.514;6.6;2;6.4;1.3;11.1;0.27;0;0.68;5.8;102.5;103
;Jeremiah Robinson-Earl;Okc;F;22.12;26;21.1;43.9;15.3;7.9;28;0.786;98;0.571;76;0.382;0.572;0.593;8.5;5;12.3;1;6.3;0.73;0.42;0.62;6.6;124.2;107.4
;Mitchell Robinson;Nyk;C-F;24.72;22;24.8;51.6;10.1;10.6;39;0.487;101;0.713;0;0;0.713;0.69;7.4;8.5;18;0.8;4.6;0.64;1.95;0.64;6;145;101.2
;Orlando Robinson;Mia;C;20;4;20;41.7;15;11.1;7;0.714;16;0.625;5;0;0.476;0.519;6.3;4;11.4;1.3;9.3;1.25;0.75;0.75;6.4;105.7;98.3
;Isaiah Roby;San;F;24.87;24;12.4;25.8;17.1;13.9;23;0.435;55;0.527;40;0.35;0.526;0.523;4.6;2.8;12.4;1.3;14.4;0.5;0.25;0.71;8.3;103.4;108.9
;David Roddy;Mem;F;21.73;29;19.3;40.2;16;10.6;29;0.69;85;0.529;97;0.289;0.478;0.498;6.7;2.9;8;0.7;4.9;0.31;0.31;0.79;4.9;101.3;107.7
;Ryan Rollins;Gol;G;20.46;9;5.1;10.7;27.9;42.3;4;1;8;0.25;8;0.375;0.406;0.479;1.9;1;10.8;0.3;8.3;0;0.11;1.44;6.5;62.2;97.8
;Derrick Rose;Nyk;G;34.21;22;13.1;27.3;23.2;11.2;10;1;86;0.43;52;0.346;0.464;0.485;6.3;1.7;6.7;1.9;22.2;0.32;0.23;0.82;8.3;103.1;111.1
;Terrence Ross;Orl;G-F;31.87;28;23.7;49.4;16.4;13.2;13;0.692;96;0.458;116;0.371;0.512;0.519;8.1;2.2;5.3;1.3;8;0.68;0.21;1.18;4.8;98.2;112.3
;Terry Rozier;Cha;G;28.76;22;36;75;27.7;10.5;65;0.831;267;0.449;175;0.314;0.458;0.488;20.9;4.5;6.7;5.5;24.6;0.68;0.18;2.5;8.9;102.2;115
;D'Angelo Russell;Min;G;26.82;28;31.9;66.5;22.9;16.3;72;0.792;192;0.563;181;0.376;0.563;0.589;17;3.1;5.3;6.4;29.1;1.25;0.54;2.82;8.7;112.5;112.1
